"UNITID","CIPCODE","EFNRALM","EFNRALW","EFBKAAM","EFBKAAW","EFAIANM","EFAIANW","DVEFAIM","DVEFAIW","EFHISPM","EFHISPW","EFWHITM","EFWHITW","EFUNKNM","EFUNKNW"
110495,13,0,3,1,6,1,1,6,16,12,79,4,47,4,22
110495,26,3,3,5,7,1,0,15,22,21,34,31,92,19,33
110495,27,2,0,0,1,1,1,3,5,20,8,18,24,9,9
110495,40,0,1,1,1,0,0,1,6,4,4,24,14,15,6
110495,52,14,12,3,17,5,8,44,78,60,140,180,218,62,80
110510,13,0,2,4,30,0,3,3,6,8,59,13,90,6,30
110510,26,5,11,21,40,0,3,30,39,40,85,57,97,19,20
110510,27,1,1,11,4,1,0,10,6,31,28,40,35,13,14
110510,40,2,1,9,3,0,0,3,7,14,8,27,22,14,4
110510,52,58,47,77,124,6,5,68,91,208,272,345,312,120,102
110529,13,0,0,0,0,0,0,0,2,1,0,4,12,2,3
110529,14,147,31,83,21,11,4,997,161,620,87,704,99,305,62
110529,26,5,17,14,26,0,6,99,126,75,148,80,130,36,57
110529,27,2,3,4,4,1,0,30,23,30,27,23,21,7,7
110529,40,5,3,3,2,1,1,32,26,28,20,42,28,22,8
110529,52,130,191,61,82,2,2,872,847,366,445,414,371,191,182
110538,13,3,5,1,7,1,1,2,11,3,12,29,122,3,16
110538,14,66,5,16,4,11,2,54,8,73,23,424,62,99,11
110538,26,4,4,1,6,1,4,12,10,12,16,88,138,25,24
110538,27,18,11,4,2,6,3,31,21,26,14,151,72,43,10
110538,40,2,1,0,3,1,0,1,1,2,4,56,40,19,9
110538,52,35,32,25,23,12,9,69,52,122,98,966,576,166,93
110547,26,0,1,18,69,0,2,17,25,22,57,8,7,5,18
